Filename;Sample_name_researcher;SampleType;Extraction date;Measurment date;Plant_sp;Test_date;Treatment;Time_exposed;Subsample;Wet_weight_mg;Remaks
X250924_EI_sample_45_nr8.mzML.Peak.area;45;sample;24.09.2025;24.09.2025;M. aquaticum;28.08.2025;Control;120h;45;138.4;
X250924_EI_sample_46_nr8.mzML.Peak.area;46;sample;24.09.2025;24.09.2025;M. aquaticum;28.08.2025;Control;120h;46;128;
X250924_EI_sample_47_nr8.mzML.Peak.area;47;sample;24.09.2025;24.09.2025;M. aquaticum;28.08.2025;Control;120h;47;124;
X250924_EI_sample_48_nr8.mzML.Peak.area;48;sample;24.09.2025;24.09.2025;M. aquaticum;28.08.2025;Control;120h;48;124.2;
X250924_EI_sample_4_nr8.mzML.Peak.area;4;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Test;24h;4;129.5;
X250924_EI_sample_5_nr8.mzML.Peak.area;5;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Test;24h;5;124.6;
X250924_EI_sample_6_nr8.mzML.Peak.area;6;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Test;24h;6;125;
X250924_EI_sample_7_nr8.mzML.Peak.area;7;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Test;24h;7;127.3;
X250924_EI_sample_8_nr8.mzML.Peak.area;8;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Test;24h;8;125;
X250924_EI_sample_9_nr8.mzML.Peak.area;9;sample;24.09.2025;24.09.2025;M. aquaticum;27.08.2025;Test;24h;9;125.1;
X250924_EI_sample_PF_10_1_nr8.mzML.Peak.area;PF_10_1;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Test;72h;PF10.1;101.3;
X250924_EI_sample_PF_10_2_nr8.mzML.Peak.area;PF_10_2;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Test;72h;PF10.2;106.8;
X250924_EI_sample_PF_12_1_nr8.mzML.Peak.area;PF12_1;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Test;72h;PF12.1;102.2;
X250924_EI_sample_PF_12_2_nr8.mzML.Peak.area;PF12_2;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Test;72h;PF12.2;100.3;
X250924_EI_sample_PF_1_1_nr8.mzML.Peak.area;PF_1_1;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Control;72h;PF1.1;110;
X250924_EI_sample_PF_1_2_nr8.mzML.Peak.area;PF_1_2;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Control;72h;PF1.2;118.4;the cylinder was borken…
X250924_EI_sample_PF_2_1_nr8.mzML.Peak.area;PF_2_1;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Control;72h;PF2.1;118.5;
X250924_EI_sample_PF_2_2_nr8.mzML.Peak.area;PF_2_2;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Control;72h;PF2.2;102.6;
X250924_EI_sample_PF_3_1_nr8.mzML.Peak.area;PF_3_1;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Control;72h;PF3.1;105.3;
X250924_EI_sample_PF_3_2_nr8.mzML.Peak.area;PF_3_2;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Control;72h;PF3.2;107.3;
X250924_EI_sample_PF_4_1_nr8.mzML.Peak.area;PF_4_1;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Control;72h;PF4.1;108.4;
X250924_EI_sample_PF_4_2_nr8.mzML.Peak.area;PF_4_2;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Control;72h;PF4.2;110.8;
X250924_EI_sample_PF_5_1_nr8.mzML.Peak.area;PF_5_1;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Control;72h;PF5.1;104;
X250924_EI_sample_PF_5_2_nr8.mzML.Peak.area;PF_5_2;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Control;72h;PF5.2;108.8;
X250924_EI_sample_PF_6_1_nr8.mzML.Peak.area;PF_6_1;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Control;72h;PF6.1;102.5;
X250924_EI_sample_PF_6_2_nr8.mzML.Peak.area;PF_6_2;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Control;72h;PF6.2;102.7;
X250924_EI_sample_PF_7_1_nr8.mzML.Peak.area;PF_7_1;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Test;72h;PF7.1;112.5;
X250924_EI_sample_PF_7_2_nr8.mzML.Peak.area;PF_7_2;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Test;72h;PF7.2;102.4;
X250924_EI_sample_PF_8_1_nr8.mzML.Peak.area;PF_8_1;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Test;72h;PF8.1;113.1;
X250924_EI_sample_PF_8_2_nr8.mzML.Peak.area;PF_8_2;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Test;72h;PF8.2;106;
X250924_EI_sample_PF_9_1_nr8.mzML.Peak.area;PF_9_1;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Test;72h;PF9.1;111.7;
X250924_EI_sample_PF_9_2_nr8.mzML.Peak.area;PF_9_2;sample;24.09.2025;24.09.2025;M. aquaticum;29.08.2025;Test;72h;PF9.2;101.5;
