Sample;Plant_species;Survival;Treatment;Batch
LR1.2;L. repens;1;Control;2
LR2.1;L. repens;0;Control;2
LF2.2;L. repens;0;Control;2
LR3.1;L. repens;0;Control;2
LR3.2;L. repens;0;Control;2
LR4.1;L. repens;0;Control;2
LR4.2;L. repens;0;Control;2
LR5.1;L. repens;0;Control;2
LR5.2;L. repens;0;Control;2
LR6.1;L. repens;0;Control;2
LR6.2;L. repens;1;Control;2
LR7.1;L. repens;0;Induced;2
LR7.2;L. repens;0;Induced;2
LR8.1;L. repens;1;Induced;2
LR8.2;L. repens;0;Induced;2
LR9.1;L. repens;0;Induced;2
LR9.2;L. repens;1;Induced;2
LR10.1;L. repens;0;Induced;2
LR10.2;L. repens;1;Induced;2
LR11.1;L. repens;0;Induced;2
LR11.2;L. repens;0;Induced;2
LR12.1;L. repens;0;Induced;2
LR12.2;L. repens;0;Induced;2
LG1.1;L. grandiflora;0;Control;2
LG1.2;L. grandiflora;0;Control;2
LG2.1;L. grandiflora;0;Control;2
LG2.2;L. grandiflora;0;Control;2
LG3.1;L. grandiflora;0;Control;2
LG3.2;L. grandiflora;0;Control;2
LG4.1;L. grandiflora;0;Control;2
LG4.2;L. grandiflora;1;Control;2
LG5.1;L. grandiflora;1;Control;2
LG5.2;L. grandiflora;0;Control;2
LG6.1;L. grandiflora;0;Control;2
LG6.2;L. grandiflora;0;Control;2
LG7.1;L. grandiflora;0;Induced;2
LG7.2;L. grandiflora;0;Induced;2
LG8.1;L. grandiflora;1;Induced;2
LG8.2;L. grandiflora;0;Induced;2
LG9.1;L. grandiflora;0;Induced;2
LG9.2;L. grandiflora;0;Induced;2
LG10.1;L. grandiflora;0;Induced;2
LG10.2;L. grandiflora;0;Induced;2
LG11.1;L. grandiflora;1;Induced;2
LG11.2;L. grandiflora;0;Induced;2
LG12.1;L. grandiflora;0;Induced;2
LG12.2;L. grandiflora;0;Induced;2
