id;time;status;stage_at_death;Plant_species;Treatment;Survival_to_pupa
LR7.1;8;1;;L. repens;Herbviroy 5 days;0
LR7.2;1;1;;L. repens;Herbviroy 5 days;0
LR8.1;39;0;;L. repens;Herbviroy 5 days;1
LR8.2;3;1;;L. repens;Herbviroy 5 days;0
LR9.1;3;1;;L. repens;Herbviroy 5 days;0
LR9.2;16;0;;L. repens;Herbviroy 5 days;1
LR10.1;3;1;;L. repens;Herbviroy 5 days;0
LR10.2;33;0;;L. repens;Herbviroy 5 days;1
LR11.1;1;1;;L. repens;Herbviroy 5 days;0
LR11.2;1;1;;L. repens;Herbviroy 5 days;0
LR12.1;1;1;;L. repens;Herbviroy 5 days;0
LR12.2;6;1;;L. repens;Herbviroy 5 days;0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
id;time;status;stage_at_death;Plant_species;Treatment;Survival_to_pupa
LG1.1;1;1;;L. grandiflora;Control;0
LG1.2;3;1;;L. grandiflora;Control;0
LG2.1;22;1;;L. grandiflora;Control;0
LG2.2;6;1;;L. grandiflora;Control;0
LG3.1;3;1;;L. grandiflora;Control;0
LG3.2;1;1;;L. grandiflora;Control;0
LG4.1;3;1;;L. grandiflora;Control;0
LG4.2;19;0;;L. grandiflora;Control;1
LG5.1;23;0;;L. grandiflora;Control;1
LG5.2;3;1;;L. grandiflora;Control;0
LG6.1;31;1;;L. grandiflora;Control;0
LG6.2;22;1;;L. grandiflora;Control;0
LG7.1;1;1;;L. grandiflora;Herbviroy 5 days;0
LG7.2;1;1;;L. grandiflora;Herbviroy 5 days;0
LG8.1;30;0;;L. grandiflora;Herbviroy 5 days;1
LG8.2;1;1;;L. grandiflora;Herbviroy 5 days;0
LG9.1;8;1;;L. grandiflora;Herbviroy 5 days;0
LG9.2;29;1;;L. grandiflora;Herbviroy 5 days;0
LG10.1;19;1;;L. grandiflora;Herbviroy 5 days;0
LG10.2;3;1;;L. grandiflora;Herbviroy 5 days;0
LG11.1;33;0;;L. grandiflora;Herbviroy 5 days;1
LG11.2;1;1;;L. grandiflora;Herbviroy 5 days;0
LG12.1;3;1;;L. grandiflora;Herbviroy 5 days;0
LG12.2;3;1;;L. grandiflora;Herbviroy 5 days;0
;;;;;;
id;time;status;stage_at_death;Plant_species;Treatment;Survival_to_pupa
MHi1.2a;1;1;;M. hippuroides;Control;0
MHi2.1a;19;0;;M. hippuroides;Control;1
MHi2.2a;22;0;;M. hippuroides;Control;1
MHi3.1a;22;0;;M. hippuroides;Control;1
MHi3.2a;18;0;;M. hippuroides;Control;1
MHi4.1a;4;1;;M. hippuroides;Control;0
MHi4.2a;1;1;;M. hippuroides;Control;0
MHi5.1a;17;0;;M. hippuroides;Control;1
MHi6.1a;2;1;;M. hippuroides;Control;0
MHi6.2a;2;1;;M. hippuroides;Control;0
MHi7.1a;1;1;;M. hippuroides;Herbivory 5 days;0
MHi7.2a;4;1;;M. hippuroides;Herbivory 5 days;0
MHi8.1a;1;1;;M. hippuroides;Herbivory 5 days;0
MHi8.2a;2;1;;M. hippuroides;Herbivory 5 days;0
MHi9.1a;1;1;;M. hippuroides;Herbivory 5 days;0
MHi9.2a;2;1;;M. hippuroides;Herbivory 5 days;0
MHi10.1a;1;1;;M. hippuroides;Herbivory 5 days;0
MHi10.2a;1;1;;M. hippuroides;Herbivory 5 days;0
MHi11.1a;1;1;;M. hippuroides;Herbivory 5 days;0
MHi11.2a;1;1;;M. hippuroides;Herbivory 5 days;0
MHi12.1a;1;1;;M. hippuroides;Herbivory 5 days;0
MHi12.2a;2;1;;M. hippuroides;Herbivory 5 days;0
;;;;;;
;;;;;;
;;;;;;
id;time;status;stage_at_death;Plant_species;Treatment;Survival_to_pupa
PF1.1c;16;0;;M. aquaticum;Control;1
PF1.2c;16;0;;M. aquaticum;Control;1
PF2.1c;17;0;;M. aquaticum;Control;1
PF2.2c;16;0;;M. aquaticum;Control;1
PF3.1c;17;0;;M. aquaticum;Control;1
PF3.2c;16;0;;M. aquaticum;Control;1
PF4.1c;16;0;;M. aquaticum;Control;1
PF4.2c;15;0;;M. aquaticum;Control;1
