feature_id;feature_mz;feature_rt;candidate_structure_tax_npc_01pat;feature_pred_tax_npc_01pat_val;feature_pred_tax_npc_01pat_score;candidate_structure_tax_npc_02sup;feature_pred_tax_npc_02sup_val;feature_pred_tax_npc_02sup_score;candidate_structure_tax_npc_03cla;feature_pred_tax_npc_03cla_val;feature_pred_tax_npc_03cla_score;consensus_class;structure_name;candidate_structure_organism_occurrence_closest;confidence;score_final;npc_pathway;npc_superclass;npc_class;color_pathway;color_superclass;color_class
438;561.159917310065;1.6884234;Terpenoids;Terpenoids;0.996;Monoterpenoids;Monoterpenoids;0.998;Secoiridoid monoterpenoids;Secoiridoid monoterpenoids;0.919;Secoiridoid monoterpenoids;NA;NA;NA;NA;Terpenoids;Monoterpenoids;Secoiridoid monoterpenoids;#008837;#3BA465;#9DD2B2
439;460.144481316772;1.6892755;NA;Amino acids and Peptides;0.526;NA;Oligopeptides;0.345;NA;Cyclamides;0.195;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
440;463.177304518704;1.6898232;Shikimates and Phenylpropanoids;Shikimates and Phenylpropanoids;0.859;NA;Phenylpropanoids (C6-C3);0.45;NA;Cinnamic acids and derivatives;0.197;Shikimates and Phenylpropanoids;NA;NA;NA;NA;Shikimates and Phenylpropanoids;Unclassified;Unclassified;#7B3294;#B288C1;#CDB2D7
441;878.014620222077;1.6898354;notClassified;Polyketides;0.417;notClassified;Naphthalenes;0.65;notClassified;Naphthoquinones;0.404;notClassified;2-Benzofurancarboxaldehyde;;NA;0.200418571277928;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
442;565.965543652523;1.6914008;Amino acids and Peptides;Amino acids and Peptides;0.996;Amino acid glycosides;Amino acid glycosides;0.999;Glucosinolates;Glucosinolates;0.774;Glucosinolates;NA;NA;NA;NA;Amino acids and Peptides;Amino acid glycosides;Glucosinolates;#D73027;#D93A32;#E67F7A
443;489.032143818654;1.6924345;notClassified;Amino acids and Peptides;0.901;notClassified;Oligopeptides;0.516;notClassified;Linear peptides;0.124;notClassified;NA;;NA;0.0708177103396883;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
444;505.017211964632;1.692633;NA;Shikimates and Phenylpropanoids;0.27617261364989;NA;Flavonoids;0.190906113338053;NA;notClassified;0.102525878263173;NA;NA;NA;NA;NA;Unclassified;Unclassified;Unclassified;#000000;#404040;#838383
445;785.082396119574;1.6940765;Shikimates and Phenylpropanoids;Amino acids and Peptides;0.676;Phenolic acids (C6-C1);Oligopeptides;0.357;Gallotannins;Cyclamides;0.144;Gallotannins;[(2R,3R,4S,5R,6R)-2,5-dihydroxy-6-(hydroxymethyl)-3-(3,4,5-trihydroxybenzoyl)oxyoxan-4-yl] 3,4,5-trihydroxy-2-[(7,13,14-trihydroxy-3,10-dioxo-2,9-dioxatetracyclo[6.6.2.04,16.011,15]hexadeca-1(15),4,6,8(16),11,13-hexaen-6-yl)oxy]benzoate;Magnoliopsida;NA;0.528644361804089;Shikimates and Phenylpropanoids;Phenolic acids (C6-C1);Gallotannins;#7B3294;#9E68B0;#A877B8
446;496.011187177745;1.6941557;Alkaloids;Alkaloids;0.986;Tryptophan alkaloids;Tryptophan alkaloids;0.978;Simple indole alkaloids;Simple indole alkaloids;0.982;Simple indole alkaloids;NA;NA;NA;NA;Alkaloids;Tryptophan alkaloids;Simple indole alkaloids;#2C7BB6;#7EAED2;#B3CFE5
447;898.039371459649;1.694163;Amino acids and Peptides;Amino acids and Peptides;0.805;NA;Small peptides;0.343;NA;Dipeptides;0.242;Amino acids and Peptides;NA;NA;NA;NA;Amino acids and Peptides;Unclassified;Unclassified;#D73027;#E7837D;#F5CDCB
