filename;mzmine_sample_type;run_date;correct_name;Date_exp;Plant_species;Exposure_time;Treatment;Wet_weight;Quantity_for_extraction;;;Survival
20260202_Elena_sample_M8.mzML;sample;2026-02-02T17:17:30;20260202_Elena_sample_M8.mzML;15.01.2026;M. aquaticum;120h;Mechanical Damage;180.6;11;;7;
20260202_Elena_sample_M9.mzML;sample;2026-02-02T17:28:06;20260202_Elena_sample_M9.mzML;15.01.2026;M. aquaticum;120h;Mechanical Damage;150.8;10;;;
20260202_Elena_sample_M10.mzML;sample;2026-02-02T17:38:41;20260202_Elena_sample_M10.mzML;15.01.2026;M. aquaticum;120h;Mechanical Damage;193.1;11;;9;
20260202_Elena_sample_M12.mzML;sample;2026-02-02T18:01:58;20260202_Elena_sample_M12.mzML;15.01.2026;M. aquaticum;120h;Mechanical Damage;223.1;13;;7;
20260202_Elena_sample_M11.mzML;sample;2026-02-02T17:49:16;20260202_Elena_sample_M11.mzML;15.01.2026;M. aquaticum;120h;Mechanical Damage;154.6;8;;9;
20260202_Elena_sample_MHi1.2a.mzML;sample;2026-02-02T22:41:30;20260202_Elena_sample_MHi1.2a.mzML;15.01.2026;M. hippuroides;120h;Control;34;4;;;0
20260202_Elena_sample_MHi2.2a.mzML;sample;2026-02-02T23:02:43;20260202_Elena_sample_MHi2.2a.mzML;15.01.2026;M. hippuroides;120h;Control;37.3;7;;7;1
20260202_Elena_sample_MHi3.1a.mzML;sample;2026-02-02T23:13:19;20260202_Elena_sample_MHi3.1a.mzML;15.01.2026;M. hippuroides;120h;Control;29.40;6;;8;1
20260202_Elena_sample_MHi2.1a.mzML;sample;2026-02-02T22:52:06;20260202_Elena_sample_MHi2.1a.mzML;15.01.2026;M. hippuroides;120h;Control;85.4;14;;2;1
20260202_Elena_sample_MHi3.2a.mzML;sample;2026-02-02T23:23:52;20260202_Elena_sample_MHi3.2a.mzML;15.01.2026;M. hippuroides;120h;Control;44.8;7;;6;1
20260202_Elena_sample_MHi4.1a.mzML;sample;2026-02-02T23:34:27;20260202_Elena_sample_MHi4.1a.mzML;15.01.2026;M. hippuroides;120h;Control;52.8;5;;7;0
20260202_Elena_sample_MHi4.2a.mzML;sample;2026-02-02T23:45:02;20260202_Elena_sample_MHi4.2a.mzML;15.01.2026;M. hippuroides;120h;Control;31.30;3;;4;0
20260202_Elena_sample_MHi5.1a.mzML;sample;2026-02-02T23:55:38;20260202_Elena_sample_MHi5.1a.mzML;15.01.2026;M. hippuroides;120h;Control;41.5;7;;9;1
20260202_Elena_sample_MHi6.1a.mzML;sample;2026-02-03T00:16:47;20260202_Elena_sample_MHi6.1a.mzML;15.01.2026;M. hippuroides;120h;Control;37.8;5;;3;0
